          table_name          |          column_name           |        data_type         | is_nullable |             column_default             
------------------------------+--------------------------------+--------------------------+-------------+----------------------------------------
 announcements                | id                             | uuid                     | NO          | gen_random_uuid()
 announcements                | tenant_id                      | uuid                     | YES         | 
 announcements                | title                          | text                     | NO          | 
 announcements                | message                        | text                     | NO          | 
 announcements                | audience_roles                 | ARRAY                    | YES         | 
 announcements                | starts_at                      | timestamp with time zone | NO          | now()
 announcements                | ends_at                        | timestamp with time zone | YES         | 
 announcements                | active                         | boolean                  | NO          | true
 assets                       | id                             | uuid                     | NO          | gen_random_uuid()
 assets                       | tenant_id                      | uuid                     | NO          | 
 assets                       | sector_id                      | uuid                     | YES         | 
 assets                       | tag                            | text                     | NO          | 
 assets                       | name                           | text                     | NO          | 
 assets                       | category                       | text                     | NO          | 
 assets                       | serial_number                  | text                     | YES         | 
 assets                       | status                         | text                     | NO          | 'ACTIVE'::text
 assets                       | purchase_date                  | date                     | YES         | 
 assets                       | warranty_until                 | date                     | YES         | 
 assets                       | metadata                       | jsonb                    | NO          | '{}'::jsonb
 attachments                  | id                             | uuid                     | NO          | gen_random_uuid()
 attachments                  | tenant_id                      | uuid                     | NO          | 
 attachments                  | entity_type                    | text                     | NO          | 
 attachments                  | entity_id                      | uuid                     | NO          | 
 attachments                  | storage_key                    | text                     | NO          | 
 attachments                  | file_name                      | text                     | NO          | 
 attachments                  | mime_type                      | text                     | NO          | 
 attachments                  | size_bytes                     | bigint                   | NO          | 
 attachments                  | sha256                         | text                     | NO          | 
 attachments                  | created_at                     | timestamp with time zone | NO          | now()
 audit_logs                   | id                             | bigint                   | NO          | nextval('audit_logs_id_seq'::regclass)
 audit_logs                   | tenant_id                      | uuid                     | YES         | 
 audit_logs                   | actor_user_id                  | uuid                     | YES         | 
 audit_logs                   | action                         | text                     | NO          | 
 audit_logs                   | entity_type                    | text                     | NO          | 
 audit_logs                   | entity_id                      | text                     | YES         | 
 audit_logs                   | ip                             | inet                     | YES         | 
 audit_logs                   | details                        | jsonb                    | NO          | '{}'::jsonb
 audit_logs                   | created_at                     | timestamp with time zone | NO          | now()
 checklists                   | id                             | uuid                     | NO          | gen_random_uuid()
 checklists                   | tenant_id                      | uuid                     | NO          | 
 checklists                   | name                           | text                     | NO          | 
 checklists                   | module                         | text                     | NO          | 
 checklists                   | version                        | integer                  | NO          | 1
 checklists                   | definition                     | jsonb                    | NO          | 
 checklists                   | active                         | boolean                  | NO          | true
 epi_deliveries               | id                             | uuid                     | NO          | gen_random_uuid()
 epi_deliveries               | tenant_id                      | uuid                     | NO          | 
 epi_deliveries               | request_id                     | uuid                     | YES         | 
 epi_deliveries               | person_id                      | uuid                     | NO          | 
 epi_deliveries               | item_id                        | uuid                     | NO          | 
 epi_deliveries               | quantity                       | numeric                  | NO          | 
 epi_deliveries               | delivered_at                   | timestamp with time zone | NO          | now()
 epi_deliveries               | certificate_number             | text                     | YES         | 
 epi_deliveries               | signature_key                  | text                     | YES         | 
 epi_deliveries               | replacement_due                | date                     | YES         | 
 epi_request_items            | id                             | uuid                     | NO          | gen_random_uuid()
 epi_request_items            | tenant_id                      | uuid                     | NO          | 
 epi_request_items            | request_id                     | uuid                     | NO          | 
 epi_request_items            | item_id                        | uuid                     | NO          | 
 epi_request_items            | quantity                       | numeric                  | NO          | 
 epi_requests                 | id                             | uuid                     | NO          | gen_random_uuid()
 epi_requests                 | tenant_id                      | uuid                     | NO          | 
 epi_requests                 | requester_id                   | uuid                     | NO          | 
 epi_requests                 | number                         | bigint                   | NO          | 
 epi_requests                 | request_type                   | text                     | NO          | 
 epi_requests                 | reason                         | text                     | NO          | 
 epi_requests                 | status                         | text                     | NO          | 'PENDING'::text
 epi_requests                 | requested_at                   | timestamp with time zone | NO          | now()
 epi_requests                 | separated_by                   | uuid                     | YES         | 
 epi_requests                 | delivered_at                   | timestamp with time zone | YES         | 
 epi_requests                 | delivery_photo_key             | text                     | YES         | 
 epi_requests                 | technician_signature_key       | text                     | YES         | 
 epi_requests                 | employee_signature_key         | text                     | YES         | 
 epi_requests                 | technician_signature_confirmed | boolean                  | NO          | false
 epi_requests                 | employee_signature_confirmed   | boolean                  | NO          | false
 epi_requests                 | notes                          | text                     | YES         | 
 equipment_types              | id                             | uuid                     | NO          | gen_random_uuid()
 equipment_types              | tenant_id                      | uuid                     | NO          | 
